대분류,중분류,소분류,event_url,시술명,대표이미지,시술_해시태그,평점,후기_갯수,원가,VAT_정보,시술_정보,병원명,병원_정보,병원_주소,마취정보,영업시간,병원_연락처(안심번호)
리프팅,레이저리프팅,울쎄라리프팅,https://www.yeoshin.co.kr/event/mobile/16693,울쎄라 리프팅 편안한 케어,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/IHI7Jba1PF5BnV3lyDxqKhHWwpc6.jpg?q=90&f=webp&w=1024,"#리프팅레이저
#타이트닝",9.8,후기 6,"790,000원",VAT 포함,"울쎄라
시술시간
30~60분
마취여부
수면마취
회복시간
약 1주
시술효과
4~8주 후",세가지소원의원(압구정),영어 응대 / 영어 응대 / 중국어 응대 / 중국어 응대 / 일본어 응대 / 일본어 응대,서울특별시 강남구 논현로 824 세가지소원의원(압구정),,화요일 10:00 ~ 20:00 / 수요일 10:00 ~ 19:00 / 목요일 10:00 ~ 20:00 / 금요일 10:00 ~ 19:00 / 토요일 10:00 ~ 17:00 / 일요일 휴진,0508-0353-5028
리프팅,레이저리프팅,울쎄라리프팅,https://www.yeoshin.co.kr/event/mobile/25183,대구 더올림 울쎄라 300샷,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/0DHERngeEgdKrwz81QdyeyKkQi5A.jpg?q=90&f=webp&w=1024,"#리프팅레이저
#타이트닝",9.5,후기 2,"770,000원",VAT 포함,"울쎄라
시술시간
30~60분
마취여부
크림마취
회복시간
약 1주
시술효과
4~8주 후",더올림성형외과의원,전문의 1명 / 전문의 1명 / 여의사 진료 / 여의사 진료 / 사후관리 / 사후관리,대구광역시 중구 달구벌대로 2095 (덕산동) 삼성생명 3층 더올림성형외과의원,"크림마취
수면마취",화요일 10:00 ~ 19:00 / 수요일 10:00 ~ 19:00 / 목요일 10:00 ~ 19:00 / 금요일 10:00 ~ 19:00 / 토요일 10:00 ~ 16:00 / 일요일 휴진,050803531308
리프팅,레이저리프팅,울쎄라리프팅,https://www.yeoshin.co.kr/event/mobile/27687,프라임 온쎄라_울쎄라피 프라임 & 온다,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/BN86sckuu5LOqn7DsT1zqd5rLGmA.png?q=90&f=webp&w=1024,"#리프팅레이저
#타이트닝",,,"1,419,000원",VAT 포함,"울쎄라피프라임
시술시간
30~60분
마취여부
크림마취
회복시간
약 1~3일
시술효과
1~2개월",뷰티블라썸의원,여의사 진료 / 여의사 진료 / 사후관리 / 사후관리 / 영어 응대 / 영어 응대 / 중국어 응대 / 중국어 응대 / 일본어 응대 / 일본어 응대,"서울특별시 마포구 양화로 66 (서교동) 5층,6층",,화요일 10:00 ~ 20:00 / 수요일 10:00 ~ 20:00 / 목요일 10:00 ~ 20:00 / 금요일 10:00 ~ 20:00 / 토요일 10:00 ~ 16:30 / 일요일 10:00 ~ 16:30 / 대체 공휴일 진료,0508-0353-9342
리프팅,레이저리프팅,울쎄라리프팅,https://www.yeoshin.co.kr/event/mobile/5421,정품정량 울쎄라피 프라임 리프팅 100샷,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/WddrJAlUmxmP9KpT3AHJVrxrZtE.jpg?q=90&f=webp&w=1024,"#리프팅레이저
#타이트닝",9.1,후기 54,"385,000원",VAT 포함,"울쎄라피프라임
시술시간
30~60분
마취여부
크림마취
회복시간
약 1~3일
시술효과
1~2개월",온리프성형외과,전문의 1명 / 전문의 1명 / 영어 응대 / 영어 응대 / 중국어 응대 / 중국어 응대 / 일본어 응대 / 일본어 응대 / 피부진단기 F-RAY 촬영 > / 피부진단기 F-RAY 촬영 > / 피부진단기 F-RAY 촬영 >,서울특별시 서초구 강남대로 399 온리프성형외과,,화요일 11:00 ~ 20:00 / 수요일 11:00 ~ 20:00 / 목요일 11:00 ~ 20:00 / 금요일 11:00 ~ 21:00 / 토요일 10:00 ~ 17:00 / 일요일 휴진,0508-0353-1273
리프팅,레이저리프팅,울쎄라리프팅,https://www.yeoshin.co.kr/event/mobile/26604,BTQ 울쎄라 리프팅 특가,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/xBnoWqgZNAmqePfFLFAHxUmvXyW8.png?q=90&f=webp&w=1024,"#리프팅레이저
#타이트닝",10,후기 7,"1,250,000원",VAT 포함,"울쎄라
시술시간
30~60분
마취여부
크림마취
회복시간
약 1주
시술효과
4~8주 후",비티큐의원,전문의 1명 / 전문의 1명 / 여의사 진료 / 여의사 진료 / 전담회복실 / 전담회복실 / 중국어 응대 / 중국어 응대 / 피부진단기 F-RAY 촬영 > / 피부진단기 F-RAY 촬영 > / 피부진단기 F-RAY 촬영 >,"서울특별시 강남구 선릉로90길 48 (대치동) 2,3,4층","크림마취
가글마취
비수면 무통마취
국소마취",화요일 10:00 ~ 20:00 / 수요일 10:00 ~ 20:00 / 목요일 10:00 ~ 20:00 / 금요일 10:00 ~ 20:00 / 토요일 10:00 ~ 16:00 / 일요일 휴진 / 공휴일 : 10:00 ~ 16:00,050803542323
리프팅,레이저리프팅,울쎄라리프팅,https://www.yeoshin.co.kr/event/mobile/20567,탄방동 프리미엄 리프팅 울쎄라 100샷,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/rYbt89JyzYtmsmAbC6tRrPQ9sTe8.png?q=90&f=webp&w=1024,"#리프팅레이저
#타이트닝",,,"363,000원",VAT 포함,"울쎄라
시술시간
30~60분
마취여부
크림마취
회복시간
약 1주
시술효과
4~8주 후",닥터쁘띠의원(대전점),여의사 진료 / 여의사 진료,대전광역시 서구 문정로48번길 70 (탄방동) 우리병원건물 2층 닥터쁘띠의원 대전점,,화요일 10:00 ~ 20:00 (점심 13:00 ~ 14:00) / 수요일 10:00 ~ 20:00 (점심 13:00 ~ 14:00) / 목요일 10:00 ~ 20:00 (점심 13:00 ~ 14:00) / 금요일 10:00 ~ 20:00 (점심 13:00 ~ 14:00) / 토요일 10:00 ~ 16:30 / 일요일 휴진 / *공휴일 : 10:00 ~ 17:00,0508-0353-0924
리프팅,레이저리프팅,울쎄라리프팅,https://www.yeoshin.co.kr/event/mobile/18540,여배우리프팅 상륙! 울쎄라써마지티타늄리프팅,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/cKYp59v7ZkbxxphS8ToUUVBOJvB7.jpg?q=90&f=webp&w=1024,"#리프팅레이저
#타이트닝",9.6,후기 73,"590,000원",VAT 포함,"티타늄
시술시간
20분
마취여부
마취없음
회복시간
당일
시술효과
2~4주 후",로렐의원,전문의 1명 / 전문의 1명 / 영어 응대 / 영어 응대 / 중국어 응대 / 중국어 응대 / 일본어 응대 / 일본어 응대,서울특별시 강남구 선릉로152길 17 (청담동) 7층,,화요일 10:00 ~ 19:00 (점심 13:00 ~ 14:00) / 수요일 10:00 ~ 19:00 (점심 13:00 ~ 14:00) / 목요일 10:00 ~ 20:30 (점심 13:00 ~ 14:00) / 금요일 10:00 ~ 20:30 (점심 13:00 ~ 14:00) / 토요일 10:00 ~ 17:00 / 일요일 휴진,0508-0353-5495
리프팅,레이저리프팅,울쎄라리프팅,https://www.yeoshin.co.kr/event/mobile/21364,"정품정샷울쎄라(전문의,정품인증)",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/MCu44DXkivi4OOEdjr57mCGSiBl5.jpg?q=90&f=webp&w=1024,"#리프팅레이저
#타이트닝",9.7,후기 20,"335,000원",VAT 포함,"울쎄라
시술시간
30~60분
마취여부
크림마취
회복시간
약 1주
시술효과
4~8주 후",청담란셀의원,전문의 1명 / 전문의 1명 / 여의사 진료 / 여의사 진료,서울특별시 강남구 봉은사로 325 (논현동) 라임타워 2층,,화요일 휴진 / 수요일 10:00 ~ 16:00 / 목요일 10:00 ~ 19:00 / 금요일 10:00 ~ 19:00 / 토요일 10:00 ~ 16:00 / 일요일 휴진,0508-0353-5927
리프팅,레이저리프팅,울쎄라리프팅,https://www.yeoshin.co.kr/event/mobile/23106,UP! 강력 초음파 리프팅_울쎄라피 프라임,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/pOzeEtnQr0WgZyJa5HoqrpKN0mU9.png?q=90&f=webp&w=1024,"#리프팅레이저
#타이트닝",10,후기 3,"1,199,000원",VAT 포함,"울쎄라피프라임
시술시간
30~60분
마취여부
크림마취
회복시간
약 1~3일
시술효과
1~2개월",뷰티블라썸의원,여의사 진료 / 여의사 진료 / 사후관리 / 사후관리 / 영어 응대 / 영어 응대 / 중국어 응대 / 중국어 응대 / 일본어 응대 / 일본어 응대,"서울특별시 마포구 양화로 66 (서교동) 5층,6층",,화요일 10:00 ~ 20:00 / 수요일 10:00 ~ 20:00 / 목요일 10:00 ~ 20:00 / 금요일 10:00 ~ 20:00 / 토요일 10:00 ~ 16:30 / 일요일 10:00 ~ 16:30 / 대체 공휴일 진료,0508-0353-9342
리프팅,레이저리프팅,울쎄라리프팅,https://www.yeoshin.co.kr/event/mobile/26166,신상 울쎄라피 프라임,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/KNMj6n6Dphe82yibXw2FiKDW4BrA.jpg?q=90&f=webp&w=1024,"#피부과 전문의
#리프팅레이저
#타이트닝",,,"1,290,000원",VAT 포함,"울쎄라피프라임
시술시간
30~60분
마취여부
크림마취
회복시간
약 1~3일
시술효과
1~2개월",신상성형외과의원,전문의 6명 / 전문의 6명,"서울특별시 강남구 도산대로 150 (논현동) 5층,6층 신상성형외과의원",,화요일 10:00 ~ 19:00 / 수요일 10:00 ~ 19:00 / 목요일 10:00 ~ 19:00 / 금요일 10:00 ~ 21:00 / 토요일 10:00 ~ 17:00 / 일요일 휴진 / [접수마감] 월~목 : 18시 / 금 : 20시 / 토 16시,0508-0353-5883
리프팅,레이저리프팅,울쎄라리프팅,https://www.yeoshin.co.kr/event/mobile/25842,대표원장 1:1 디자인 리프팅 울쎄라,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/Ci9jU3Zr0iJoY8DLuzdhid2Y3st2.png?q=90&f=webp&w=1024,"#리프팅레이저
#타이트닝",5,후기 2,,,"울쎄라
시술시간
30~60분
마취여부
크림마취
회복시간
약 1주
시술효과
4~8주 후",베르미의원/한의원,수술실 CCTV / 수술실 CCTV / 분야별 협진 / 분야별 협진 / 일본어 응대 / 일본어 응대,서울특별시 강남구 영동대로 722 (청담동) 풍양빌딩 2층 (청담동),,화요일 10:00 ~ 19:00 (점심 13:00 ~ 14:00) / 수요일 10:00 ~ 19:00 (점심 13:00 ~ 14:00) / 목요일 10:00 ~ 19:00 (점심 13:00 ~ 14:00) / 금요일 10:00 ~ 20:00 (점심 13:00 ~ 14:00) / 토요일 10:00 ~ 16:00 / 일요일 휴진,0508-0353-7622
