event_url,시술명,새_원가
https://www.yeoshin.co.kr/event/mobile/25842,대표원장 1:1 디자인 리프팅 울쎄라,"278,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26740,대표원장 1:1 맞춤 시술 울쎄라 400샷,"1,183,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/24105,프리미엄 울쎄라 패키지,"1,302,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25845,[대표원장]인모드는 길게 롱모드 풀페이스,"213,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/17247,V라인 인모드 리프팅,"246,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/9558,인모드 여자피부과전문의,"153,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/17246,탄력 UP 슈링크 유니버스,"158,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/16042,슈링크 유니버스 300샷,"92,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/24652,대표원장 상담 시술 슈링크유니버스,"57,900원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25843,써마지 CPT,"192,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26568,대표원장 꼼꼼하게 직접 시술 써마지600샷,"1,843,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26799,잠실온 피부과전문의_ 써마지FLX 600샷,"1,962,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/22590,연예인 리프팅 써마지 flx 600샷,"1,893,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25910,써마지,"1,973,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27119,리쥬란힐러 2CC+LDM엠보진정관리,"213,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27190,LDM 물방울 리프팅 맛집(피부맞춤모드),"31,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/24651,모공 쫀쫀 포텐자 풀페이스+LDM,"178,900원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25326,리즈셀줄기세포(얼굴) +PPP+물광+LDM,"847,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25888,LDM 물방울 리프팅 / 1인실 클렌징,"37,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27037,"4세대 물광 필링! 쎄라필 1,2제+LDM","92,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26013,바르는 스킨부스터 위코우노+LDM/1인실,"173,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/24653,대표원장 시술 온다리프팅 4만줄(40kJ),"378,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27122,슈링크 300샷,"73,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/19269,유노 슈링크 400샷,"213,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26035,"슈링크 오로라 부스터 - 탄력, 재생,미백","565,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/16062,피부탄력과 피부톤개선 티타늄리프팅,"193,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/21526,(대표원장) DM 풀페이스 얼굴지방이식,"990,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26746,혈액세포 풀페이스 지방이식,"4,000,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/21103,자연스러운 볼륨_풀페이스지방이식,"990,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/20901,더비비 풀페이스 얼굴지방이식,"599,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27081,더이뻐 올리지오,"180,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/17285,강력해진 올리지오 X,"598,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/24654,고주파리프팅 볼뉴머 대표원장 시술,"174,500원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/17248,볼뉴머 리프팅 300샷,"708,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/13125,튠페이스블루+레드40KJ,"483,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/16576,튠페이스,"392,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/23744,정품 아이써마지 FLX 225샷 특가,"983,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26742,리프팅 끝판왕! 세르프 탄력 개선 풀페이스,"973,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/21011,통증 거의 없이예뻐지자! 엔샤인 온다쎄르프,"1,263,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26798,잠실온 피부과전문의_ 텐써마,"653,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25515,탄력리프팅에는 텐써마,"469,000원"
https://www.yeoshin.co.kr/event/mobile/25898,넥타이트 패키지,"1,038,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26793,잠실온 피부과 전문의_ 리니어지 리프팅,"191,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25989,리니어지 리프팅 턱라인/이중턱/눈가/바디,"133,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/27036,눈가 버츄/처진눈꺼풀/탄력/1:1의사상담,"203,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/11900,여드름 모공 여자피부과전문의,"92,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/22162,피팅_팔뚝지방흡입,"605,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/22161,피팅_복부지방흡입,"605,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25851,엘싸(초음파 지방융해술),"653,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25848,벨로디2 라인정리와 탄력을 한번에,"873,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25844,엘리시스센스 풀페이스,"125,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/24458,덴티움 임플란트,"290,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/22460,#티안나는#콧볼축소 하이봄 콧볼축소 42.9,"429,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/24472,남성 확대 수술(T링),"500,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25847,이중턱묶기,"653,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/790,우아 잼버실리프팅,"103,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/25846,듀얼라인 실리프팅으로 강력하게,"433,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/17700,민트실,"250,000원"
https://www.yeoshin.co.kr/event/mobile/24644,대표원장 디자인 시술 실리프팅 모음,"101,900원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26024,"잼버, 민트 실 리프팅","488,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/24861,-10 미니거상_대표원장,"869,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/26823,"유니 미니거상, 안면거상","715,000원
VAT 포함"
https://www.yeoshin.co.kr/event/mobile/21473,헤어라인 안쪽 미세절개 ! DM 미니거상,"2,200,000원
VAT 포함"
