event_url,대분류,중분류,소분류,treatment_name,main_image_url,rating,review_count,original_price,selling_price,hospital_name,hospital_address,treatment_description,option_info,target_group,procedure_info,procedure_qna,downtime_info,side_effect_info
https://www.yeoshin.co.kr/event/mobile/27300,피부,스킨부스터,쥬베룩,수분충전 리쥬베룩(리쥬란 + 쥬베룩),https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/7t8GaiGN7xqctwY8OmgwZ8H8lev.jpg?q=90&f=webp&w=1024,10.0,1.0,251900.0,244900,유앤아이의원(수원점),경기도 수원시 팔달구 효원로 265번길 54 유앤아이의원(수원점)주소복사,,VAT 포함,,,,리쥬란힐러 시술시간 30~60분 마취여부 크림마취 회복시간 약 3일 시술효과 1~2주 후,
https://www.yeoshin.co.kr/event/mobile/22251,지방성형,바디지방흡입,엉덩이지방흡입,지세븐 엉덩이 지방이식,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/BktBDm9wn4XVubEasbpWmhPI6H77.png?q=90&f=webp&w=1024,,,,2970000,지세븐의원,서울특별시 강남구 테헤란로 141 KR타워 5층주소복사,"지방흡입 #체형개선 #지방제거 지방흡입술은 지방이 집중적으로 축적된 부위의 지방세포를 흡입기를 사용해 제거하는 시술입니다. 주로 복부, 허벅지, 팔, 엉덩이와 같은 부위에서 시행되며, 다이어트로 개선되지 않는 부위의 지방을 제거해 매끄러운 바디라인을 만드는데 도움을 줍니다. 수술 후에는 압박복을 착용해 흡입 부위의 부기를 줄일 수 있습니다. 회복 기간 동안 약간의 통증과 멍이 발생할 수 있으며, 최종 결과는 3~6개월 후에 나타납니다.",,"비교적 간편하게 다이어트와 체형관리를 하고싶은 분 부유방, 허벅지, 뱃살 등이 고민인 분 운동할 시간이 없는 분 울퉁불퉁한 지방을 제거하고 싶은 분",,,지방흡입 시술시간 2~3시간 마취여부 수면 회복시간 1~2주 시술효과 3~6개월,
https://www.yeoshin.co.kr/event/mobile/11119,피부,스킨부스터,리쥬란아이,리쥬란아이,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/wtV1FclLJ6oIRgrpWLDFbQPmIrI9.jpg?q=90&f=webp&w=1024,9.1,138.0,132000.0,125000,비오페이스의원,크림마취,,VAT 포함,,,,리쥬란아이 시술시간 30분 마취여부 냉각마취 회복시간 5일 시술효과 2주 후,
https://www.yeoshin.co.kr/event/mobile/23298,눈성형,트임,앞트임,대구트임성형 앞트임 윗트임 뒤트임 밑트임,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/2v5JCwFrLwkLUb5EL6gVCGQ6IGZ3.jpg?q=90&f=webp&w=1024,,,,440000,메이린의원(대구점),크림마취,,,,,,눈트임 시술시간 30~60분 마취여부 국소/수면 회복시간 1~2주 시술효과 1~3개월,
https://www.yeoshin.co.kr/event/mobile/15888,리프팅,실리프팅,실리프팅,아르의원_김해점) 실리프팅,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/pZb6Lyci6MR4phmm9Wn9TMaFyWm3.jpg?q=90&f=webp&w=1024,,,110000.0,103000,아르의원(김해점),,실리프팅 #녹는실 #라인개선 녹는실을 얼굴 부위에 삽입하여 잔주름과 얼굴 라인 개선을 동시에! #즉각적 #리프팅 비수술적인 방법으로 즉각적이고 높은 리프팅 효과 권장주기 3~6개월 / 1회 시술,VAT 포함,잔주름 깊은 주름으로 고민하시는 분 탄력이 떨어져 처진 얼굴살을 정리하고 싶은 분 시술 결과가 비교적 오래 유지되길 원하는 분 처진 피부를 리프팅하고 이중턱을 개선하고 싶은 분,,,실리프팅 시술시간 40분 마취여부 국소마취 회복시간 당일 시술효과 2~4주 후,
https://www.yeoshin.co.kr/event/mobile/16728,피부,필링,필링,릴리이드M 물광주사로 스킨부스팅,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/eVLcFNyYP8HyomqaNA6Ig8XSjyCA.jpg?q=90&f=webp&w=1024,10.0,2.0,99000.0,92000,제이필의원(강남점),서울특별시 강남구 강남대로 438 (역삼동) 스타플렉스 B1주소복사,,VAT 포함,,,,릴리이드 시술시간 40~60분 마취여부 크림마취 회복시간 당일 시술효과 1주 후,
https://www.yeoshin.co.kr/event/mobile/19423,제모,얼굴제모,턱제모,남자 겨드랑이/인중 레이저제모,https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/w0yEPqLITO5wdN0zZKqRoHaKiqN9.jpg?q=90&f=webp&w=1024,9.6,34.0,11000.0,6100,뷰티앤디지털치과병원,"경기도 파주시 경의로1240번길 19 (와동동) 월드타워15차 7층, 8층주소복사",,VAT 포함,,,,남성제모 시술시간 5~10분 마취여부 마취없음 회복시간 당일 시술효과,
https://www.yeoshin.co.kr/event/mobile/27525,피부,피부레이저,비립종제거,"사마귀, 비립종, 쥐젖 제거",https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/V9rp2aILpEoGtWoArqUspBRPp3g5.jpg?q=90&f=webp&w=1024,,,10000.0,5500,아이맘한의원,크림마취,"점제거 #말끔하게 #각종잡티(사마귀, 비립종, 쥐젖 등) 다양한 잡티에 알맞은 레이저로 말끔히 제거 #손상NO #상처DOWN 핀홀 레이저로 주변 조직 손상 없이 흉터, 자국, 상처는 DOWN 면역치료로 재발, 확산 방지 필요에 따라 한방면역치료 진행 가능 권장주기 1개월 / 1~3회 시술",VAT 포함,잡티로 얼굴이 칙칙해 보여 고민인 분 효과적인 점 제거를 원하는 분 잡티없는 깨끗한 피부를 원하는 분 점이 많아 고민인 분,"시술 특장점 깨끗하게 잡티 제거 잡티 제거 후 흉터 자국, 상처가 거의 없습니다. 피부 손상을 낮춘 시술 핀홀 레이저로 주변 피부 손상을 낮추어 효과적으로 점을 뺄 수 있습니다. 주위 피부 개선 잡티 외의 시술 부위의 피부 탄력 및 개선 효과를 기대할 수 있습니다.","시술 시 통증이 많이 있나요? 시술 시 통증은 적은 편이며, 시술 시간이 짧아 피부 손상이 적은 편입니다. 완벽하게 제거되나요? 눈에 보이는 병변이 제거되었더라도 관리상태에 따라 재발할 가능성은 있습니다.",점제거 시술시간 5-20분 마취여부 크림마취 회복시간 약 7~14일 시술효과 1~2주 후,"주의사항 1 시술 직후 레이저로 인한 화끈거림이 있을 수 있습니다. 2 색소 침착이 되지 않도록 외출 시 자외선 차단제를 꼼꼼히 발라주세요. 3 시술 후 붉은 피부에 쿨링팩이나 진정팩을 사용하여 진정시켜주세요. 4 시술 부위는 하루 정도 물에 닿지 않도록 해야 합니다. 5 딱지는 억지로 제거하지 마시고 자연 탈락되도록 해주세요. 6 재생테이프는 진물을 흡수하는 역할로, 7일 동안 꾸준히 붙여야 합니다. 7 찜질방, 사우나, 선탠은 과색소 침착을 야기할 수 있으니 자제해주세요."
https://www.yeoshin.co.kr/event/mobile/25078,보톡스,주름보톡스,스킨보톡스,촉촉光피부 (리쥬란+물광+스킨보톡스),https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/EAiVlvUnvsu1snjBTSfltv9zR882.JPG?q=90&f=webp&w=1024,10.0,11.0,209000.0,202000,올리미의원,,"리쥬란힐러 #피부재생 #스킨부스터 피부의 DNA를 이루는 폴리뉴클레오티드(PN)를 진피층에 주사하는 시술 #피부환경개선 #건강한피부 노화나 자외선 등 다양한 피부 자극으로부터 피부 속 환경을 개선 #주름개선 #콜라겐재생 콜라겐 재생, 섬유아세포 증식 촉진 등으로 주름을 완화시키고 피부 구조를 개선",VAT 포함,건조하고 탄력이 떨어진 피부가 고민인 분 잔주름 때문에 나이가 더 들어보이는 분,,,리쥬란힐러 시술시간 20~30분 마취여부 크림마취 회복시간 약 3일 시술효과 1~2주 후,
https://www.yeoshin.co.kr/event/mobile/24102,보톡스,주름보톡스,잔주름보톡스,얼굴 보톡스(수입),https://d3gurpvil0se70.cloudfront.net/upfiles/images/product/cN84GSYq2jzqLUCLGXViu12DqZR1.jpg?q=90&f=webp&w=1024,10.0,2.0,70000.0,63000,새봄여성의원(송파),서울특별시 송파구 석촌호수로 160 (삼전동) 수연빌딩 4층 주소복사,"주름보톡스 #주름예방 #습관교정 표정 주름을 만드는 근육을 마비시켜 근육 사용 습관 교정 및 주름 예방에 효과적 #미세주름개선 미세 주름이 많은 미간, 이마, 눈가 등에 주사하여 전체적인 주름을 개선 권장주기 4~6개월 / 1회 시술",VAT 포함,얼굴의 주름을 자연스럽게 개선하고 싶은 분 눈가의 잔주름 개선을 원하는 분 탄력없는 피부와 잔주름이 고민인 분 잔주름을 개선하고 싶은 분,시술 특장점 표정으로 인한 주름 개선 표정주름을 만드는 근육을 풀어주어 주름을 개선해줍니다. 주름 예방 효과 표정 근육의 사용 습관 교정 및 주름 예방 효과가 있습니다. 밝은 인상으로 개선 찡그릴 때 생긴 주름으로 인해 인상쓰는 것처럼 보이는 이미지를 개선해줍니다.,"시술 시 통증은 없나요? 개인에 따라 차이가 있지만 마취가 필요할 경우 크림마취를 진행하고 있으며, 약간의 통증이 있을 수 있습니다. 효과는 언제 나타나나요? 개인차가 있지만, 약 1~2주 후부터 효과가 나타나기 시작합니다.",주름보톡스 시술시간 10분 마취여부 크림마취 회복시간 약 3일 시술효과 1~2주 후,주의사항 1 시술 후 음주 및 흡연을 자제해주세요. 2 시술 후 시술 부위를 강하게 마사지하거나 누르지 말아주세요. 3 시술 후 3~4일간 과격하고 무리한 운동은 자제해주세요.
